,Sex,LSM (mm),Diameter (mm),Height (mm),Weight_of_Abalone (grams),Weight_Of_Meat (mm),Gut_Weight_After_Bleeding (grams),Shell_Weight (grams),Rings
547,2,0.205,0.155,0.045,0.0425,0.017,0.0055,0.0155,7.0
1250,1,0.4,0.29,0.1,0.2675,0.1205,0.0605,0.0765,5.0
2226,1,0.355,0.28,0.11,0.2235,0.0815,0.0525,0.08,7.0
3062,0,0.635,0.505,0.165,1.251,0.5770000000000001,0.22699999999999998,0.3825,11.0
3316,2,0.44,0.35,0.14,0.451,0.171,0.0705,0.184,16.0
2131,2,0.32,0.24,0.08,0.18,0.08,0.0385,0.055,6.0
2814,1,0.275,0.2,0.055,0.0925,0.038,0.021,0.026000000000000002,4.0
2835,2,0.57,0.42,0.14,0.8745,0.41600000000000004,0.165,0.25,8.0
267,2,0.35,0.275,0.11,0.2925,0.1225,0.0635,0.0905,8.0
52,2,0.485,0.36,0.13,0.5415,0.2595,0.096,0.16,10.0
234,1,0.44,0.35,0.135,0.435,0.1815,0.083,0.125,12.0
1542,1,0.36,0.265,0.075,0.1845,0.083,0.0365,0.055,7.0
2092,2,0.53,0.425,0.13,0.7455,0.2995,0.1355,0.245,10.0
2868,1,0.335,0.26,0.09,0.1965,0.0875,0.040999999999999995,0.055999999999999994,7.0
427,2,0.6,0.5,0.16,1.015,0.3995,0.1735,0.33,19.0
2054,2,0.465,0.36,0.11,0.4955,0.2665,0.085,0.121,7.0
2011,2,0.45,0.33,0.105,0.4955,0.2575,0.08199999999999999,0.129,8.0
2810,2,0.72,0.55,0.205,2.165,1.1055,0.525,0.40399999999999997,10.0
801,2,0.45,0.335,0.125,0.349,0.11900000000000001,0.1055,0.115,10.0
3986,0,0.645,0.525,0.17,1.37,0.6135,0.28300000000000003,0.34,10.0
753,0,0.58,0.455,0.165,1.1365,0.369,0.3005,0.275,13.0
1497,2,0.625,0.52,0.175,1.4105,0.691,0.322,0.3465,10.0
2366,2,0.695,0.57,0.23,1.885,0.8665,0.435,0.5,19.0
1185,0,0.67,0.505,0.205,1.3645,0.6075,0.3025,0.353,9.0
1695,0,0.63,0.5,0.18,1.1965,0.514,0.2325,0.3995,8.0
3570,2,0.58,0.47,0.165,1.041,0.54,0.166,0.27899999999999997,9.0
3869,0,0.49,0.385,0.16,0.6559999999999999,0.2455,0.171,0.205,9.0
2223,0,0.555,0.455,0.18,0.958,0.29600000000000004,0.195,0.39,14.0
885,0,0.67,0.585,0.16,1.3090000000000002,0.5445,0.2945,0.413,10.0
1931,2,0.62,0.49,0.15,1.195,0.4605,0.302,0.355,9.0
1568,1,0.47,0.355,0.125,0.499,0.21,0.0985,0.155,8.0
458,1,0.415,0.31,0.11,0.2965,0.12300000000000001,0.057,0.0995,10.0
4070,1,0.48,0.335,0.125,0.524,0.24600000000000002,0.1095,0.145,7.0
1912,1,0.58,0.44,0.145,0.7905,0.3525,0.1645,0.242,10.0
1936,2,0.625,0.495,0.155,1.0485,0.48700000000000004,0.212,0.3215,11.0
543,2,0.445,0.35,0.115,0.3615,0.1565,0.0695,0.11699999999999999,8.0
2417,2,0.31,0.235,0.06,0.12,0.0415,0.033,0.04,11.0
3548,0,0.495,0.37,0.12,0.594,0.28,0.11,0.1375,7.0
4047,2,0.62,0.485,0.145,1.003,0.4655,0.2195,0.28,11.0
439,2,0.5,0.415,0.165,0.6885,0.249,0.138,0.25,13.0
3036,1,0.55,0.445,0.145,0.7829999999999999,0.3045,0.157,0.265,11.0
3163,0,0.55,0.44,0.125,0.765,0.33,0.2125,0.245,9.0
308,2,0.55,0.41,0.125,0.7605,0.2505,0.1635,0.195,14.0
4121,1,0.455,0.35,0.13,0.4725,0.215,0.0745,0.15,9.0
1328,1,0.57,0.45,0.145,0.7509999999999999,0.2825,0.2195,0.2215,10.0
2687,2,0.63,0.51,0.175,1.3415,0.6575,0.262,0.375,10.0
2231,0,0.505,0.4,0.165,0.7290000000000001,0.2675,0.155,0.25,9.0
3500,2,0.6,0.41,0.145,0.9390000000000001,0.4475,0.196,0.268,8.0
999,0,0.595,0.47,0.155,1.121,0.4515,0.17800000000000002,0.155,11.0
204,2,0.42,0.335,0.115,0.369,0.171,0.071,0.12,8.0
1351,0,0.595,0.465,0.155,1.026,0.4645,0.11199999999999999,0.305,12.0
502,0,0.62,0.47,0.225,1.115,0.37799999999999995,0.2145,0.36,15.0
884,2,0.66,0.52,0.19,1.558,0.755,0.298,0.4,10.0
314,2,0.63,0.485,0.175,1.3,0.4335,0.2945,0.46,23.0
2017,2,0.505,0.395,0.135,0.5915,0.28800000000000003,0.1315,0.185,12.0
842,2,0.5,0.4,0.125,0.5975,0.27,0.1275,0.166,9.0
3714,0,0.725,0.56,0.185,1.7919999999999998,0.873,0.36700000000000005,0.435,11.0
3839,2,0.52,0.425,0.125,0.79,0.37200000000000005,0.205,0.19,8.0
3969,1,0.38,0.3,0.09,0.27699999999999997,0.1655,0.0625,0.08199999999999999,6.0
3575,2,0.6,0.47,0.15,0.9279999999999999,0.4225,0.183,0.275,8.0
4166,1,0.475,0.365,0.115,0.499,0.23199999999999998,0.0885,0.156,10.0
1230,1,0.365,0.27,0.085,0.196,0.0825,0.0375,0.06,7.0
3373,2,0.54,0.405,0.155,0.9715,0.3225,0.19399999999999998,0.29,19.0
4138,2,0.63,0.49,0.155,1.229,0.535,0.29,0.335,11.0
2136,0,0.56,0.425,0.125,0.932,0.361,0.213,0.335,9.0
2900,0,0.55,0.435,0.14,0.745,0.34700000000000003,0.174,0.2265,9.0
2365,0,0.63,0.505,0.165,1.065,0.4595,0.21600000000000003,0.315,12.0
2155,2,0.58,0.46,0.165,1.2275,0.473,0.1965,0.435,16.0
3932,0,0.49,0.37,0.115,0.541,0.171,0.1175,0.185,11.0
1880,1,0.55,0.435,0.14,0.7995,0.295,0.1905,0.23800000000000002,10.0
3904,2,0.575,0.47,0.165,0.853,0.292,0.179,0.35,16.0
845,2,0.54,0.405,0.125,0.8909999999999999,0.4815,0.1915,0.20199999999999999,9.0
3116,2,0.465,0.405,0.135,0.7775,0.436,0.1715,0.1455,10.0
3715,2,0.78,0.6,0.21,2.548,1.1945,0.5745,0.6745,11.0
2369,1,0.56,0.44,0.17,0.9445,0.3545,0.2175,0.3,12.0
921,1,0.42,0.32,0.115,0.376,0.16899999999999998,0.092,0.1,5.0
933,1,0.45,0.36,0.13,0.478,0.191,0.127,0.13699999999999998,7.0
3772,2,0.575,0.465,0.12,1.0535,0.516,0.2185,0.235,9.0
2672,0,0.595,0.465,0.15,1.1005,0.5415,0.166,0.265,8.0
2103,2,0.375,0.29,0.1,0.276,0.1175,0.0565,0.085,9.0
503,0,0.6,0.505,0.19,1.129,0.4385,0.256,0.36,13.0
3203,0,0.635,0.505,0.185,1.3035,0.501,0.295,0.41,17.0
3666,1,0.575,0.44,0.15,0.983,0.486,0.215,0.239,8.0
115,0,0.53,0.415,0.115,0.5915,0.233,0.1585,0.18,11.0
2479,0,0.5,0.44,0.155,0.742,0.2025,0.2005,0.2115,14.0
1111,1,0.52,0.38,0.125,0.5545,0.28800000000000003,0.1295,0.16699999999999998,8.0
865,0,0.605,0.475,0.175,1.382,0.609,0.2325,0.3985,10.0
1342,1,0.585,0.475,0.16,1.0505,0.48,0.23399999999999999,0.285,10.0
2309,2,0.47,0.375,0.13,0.5795,0.2145,0.16399999999999998,0.195,13.0
2719,1,0.36,0.26,0.08,0.1795,0.07400000000000001,0.0315,0.06,5.0
1985,2,0.76,0.605,0.215,2.173,0.8009999999999999,0.4915,0.6459999999999999,13.0
1400,0,0.65,0.59,0.22,1.662,0.77,0.37799999999999995,0.435,11.0
1496,2,0.62,0.48,0.165,1.0725,0.4815,0.235,0.312,9.0
2730,1,0.405,0.3,0.09,0.2885,0.138,0.0635,0.0765,6.0
2548,1,0.275,0.195,0.07,0.0875,0.0345,0.022000000000000002,0.0255,4.0
3008,0,0.75,0.615,0.205,2.2635,0.821,0.423,0.726,12.0
3325,2,0.345,0.265,0.09,0.163,0.0615,0.037000000000000005,0.0485,10.0
4007,0,0.585,0.46,0.15,1.0035,0.503,0.2105,0.2515,11.0
2546,1,0.225,0.17,0.07,0.0565,0.024,0.013000000000000001,0.016,4.0
1857,1,0.505,0.4,0.145,0.7045,0.33399999999999996,0.1425,0.207,8.0
2394,1,0.625,0.46,0.16,1.2395,0.55,0.273,0.38,14.0
2087,2,0.72,0.585,0.22,1.9140000000000001,0.9155,0.44799999999999995,0.479,11.0
1129,2,0.56,0.415,0.145,0.852,0.43,0.1885,0.205,8.0
2888,1,0.51,0.4,0.125,0.5935,0.239,0.13,0.204,8.0
2598,2,0.6,0.46,0.15,1.247,0.5335,0.2735,0.29,9.0
1025,2,0.645,0.52,0.175,1.636,0.779,0.342,0.43200000000000005,11.0
3180,0,0.37,0.295,0.1,0.2685,0.1165,0.055999999999999994,0.0835,7.0
3615,2,0.615,0.475,0.19,1.4335,0.7315,0.305,0.3285,9.0
3274,0,0.5,0.405,0.14,0.6735,0.265,0.124,0.25,18.0
2647,1,0.5,0.39,0.125,0.583,0.294,0.132,0.1605,8.0
3177,0,0.505,0.41,0.135,0.657,0.29100000000000004,0.133,0.195,15.0
3727,2,0.505,0.4,0.15,0.775,0.3445,0.157,0.185,7.0
907,1,0.33,0.265,0.085,0.196,0.0775,0.0305,0.0445,6.0
2753,1,0.515,0.39,0.11,0.531,0.2415,0.098,0.1615,8.0
3518,2,0.71,0.57,0.195,1.348,0.8985,0.4435,0.4535,11.0
166,0,0.725,0.575,0.175,2.124,0.765,0.4515,0.85,20.0
4064,0,0.64,0.49,0.18,1.36,0.653,0.34700000000000003,0.305,9.0
172,2,0.525,0.435,0.155,1.065,0.486,0.233,0.285,8.0
4093,2,0.63,0.485,0.18,1.2435,0.5175,0.308,0.37,11.0
235,1,0.295,0.225,0.08,0.124,0.0485,0.032,0.04,9.0
2166,1,0.38,0.28,0.085,0.2735,0.115,0.061,0.085,6.0
3856,1,0.335,0.255,0.085,0.1785,0.071,0.0405,0.055,9.0
2902,1,0.56,0.435,0.13,0.777,0.354,0.17300000000000001,0.222,9.0
2217,0,0.515,0.415,0.13,0.764,0.276,0.196,0.25,13.0
2791,2,0.625,0.5,0.14,1.0959999999999999,0.5445,0.2165,0.295,10.0
1675,0,0.61,0.485,0.18,1.2795,0.5735,0.2855,0.355,7.0
2618,0,0.69,0.545,0.205,1.933,0.7855,0.429,0.498,13.0
54,2,0.405,0.31,0.1,0.385,0.17300000000000001,0.0915,0.11,7.0
1557,1,0.425,0.325,0.11,0.317,0.135,0.048,0.09,8.0
592,1,0.525,0.41,0.175,0.8740000000000001,0.3585,0.207,0.205,18.0
3959,0,0.68,0.55,0.19,1.807,0.8225,0.3655,0.515,11.0
2492,0,0.475,0.38,0.145,0.57,0.16699999999999998,0.11800000000000001,0.187,11.0
2245,2,0.46,0.375,0.14,0.5105,0.192,0.1045,0.205,9.0
1507,0,0.645,0.515,0.175,1.546,0.7035,0.365,0.415,10.0
93,0,0.625,0.495,0.165,1.262,0.507,0.318,0.39,10.0
2306,0,0.65,0.5,0.165,1.1445,0.485,0.218,0.365,12.0
877,0,0.635,0.5,0.15,1.376,0.6495,0.361,0.31,10.0
3916,0,0.52,0.41,0.16,0.7120000000000001,0.2845,0.153,0.225,10.0
1121,2,0.545,0.41,0.12,0.7929999999999999,0.434,0.1405,0.19,9.0
1134,0,0.57,0.445,0.145,0.8775,0.41200000000000003,0.217,0.22,8.0
2330,1,0.42,0.345,0.115,0.3435,0.1515,0.0795,0.115,9.0
1898,0,0.57,0.44,0.12,0.8029999999999999,0.382,0.1525,0.23399999999999999,9.0
1836,1,0.415,0.31,0.09,0.2815,0.1245,0.0615,0.085,6.0
534,1,0.47,0.37,0.14,0.4985,0.2095,0.1225,0.145,10.0
2595,0,0.595,0.465,0.15,1.0255,0.41200000000000003,0.2745,0.289,11.0
1824,1,0.185,0.135,0.04,0.027000000000000003,0.0105,0.0055,0.009000000000000001,5.0
2350,0,0.515,0.435,0.17,0.631,0.2765,0.111,0.21600000000000003,12.0
2680,2,0.615,0.475,0.175,1.103,0.4635,0.3095,0.2725,10.0
3386,2,0.515,0.4,0.125,0.955,0.341,0.2535,0.26,13.0
3102,2,0.6,0.465,0.18,1.193,0.5145,0.315,0.3055,8.0
2654,0,0.545,0.43,0.14,0.8320000000000001,0.4355,0.17,0.201,9.0
2098,2,0.47,0.35,0.1,0.4775,0.1885,0.0885,0.175,8.0
3748,1,0.4,0.315,0.1,0.3225,0.14300000000000002,0.0735,0.091,6.0
1849,1,0.485,0.385,0.13,0.568,0.2505,0.17800000000000002,0.154,7.0
1098,2,0.49,0.465,0.125,0.5225,0.235,0.13,0.141,7.0
2080,2,0.645,0.495,0.15,1.2095,0.603,0.2225,0.33899999999999997,9.0
3197,1,0.31,0.235,0.075,0.1515,0.055999999999999994,0.0315,0.05,7.0
2530,0,0.6,0.485,0.165,1.1405,0.5870000000000001,0.2175,0.28800000000000003,9.0
2169,1,0.165,0.115,0.015,0.0145,0.0055,0.003,0.005,4.0
1920,0,0.605,0.455,0.145,0.862,0.33399999999999996,0.1985,0.3,9.0
2996,0,0.62,0.5,0.17,1.148,0.5475,0.22,0.3315,10.0
1418,2,0.705,0.555,0.215,2.141,1.0465,0.38299999999999995,0.528,11.0
937,1,0.455,0.355,0.125,0.5325,0.225,0.126,0.1465,7.0
2109,2,0.62,0.49,0.17,1.2105,0.5185,0.2555,0.335,13.0
3301,0,0.66,0.525,0.19,1.67,0.6525,0.4875,0.49,11.0
3517,0,0.7,0.56,0.175,1.6605,0.8605,0.3275,0.39799999999999996,11.0
3230,2,0.57,0.455,0.15,0.96,0.387,0.2385,0.275,11.0
2107,0,0.675,0.55,0.18,1.6885,0.562,0.3705,0.6,15.0
3068,2,0.65,0.51,0.175,1.3165,0.6345,0.2605,0.364,12.0
1889,2,0.565,0.415,0.125,0.667,0.302,0.1545,0.185,7.0
3126,2,0.615,0.495,0.155,1.2865,0.435,0.293,0.3245,11.0
276,0,0.66,0.53,0.185,1.3485,0.493,0.245,0.49,12.0
2895,1,0.54,0.415,0.11,0.619,0.2755,0.15,0.1765,10.0
585,1,0.495,0.39,0.125,0.6655,0.284,0.162,0.2,11.0
521,0,0.36,0.27,0.09,0.1885,0.0845,0.0385,0.055,5.0
1863,1,0.52,0.415,0.14,0.6375,0.308,0.1335,0.168,9.0
352,2,0.57,0.46,0.14,0.9535,0.4465,0.2065,0.245,12.0
1550,1,0.385,0.3,0.09,0.308,0.1525,0.055999999999999994,0.0835,8.0
2333,2,0.695,0.55,0.22,1.5515,0.5660000000000001,0.3835,0.445,13.0
3744,1,0.275,0.205,0.065,0.10099999999999999,0.040999999999999995,0.021,0.034,5.0
3621,0,0.655,0.455,0.17,1.275,0.583,0.303,0.33299999999999996,8.0
3847,2,0.445,0.37,0.125,0.515,0.2495,0.087,0.159,9.0
3448,2,0.52,0.39,0.12,0.6435,0.2885,0.157,0.161,7.0
1864,1,0.52,0.395,0.125,0.5805,0.2445,0.146,0.165,9.0
2052,2,0.46,0.345,0.12,0.4935,0.2435,0.1175,0.132,8.0
4170,2,0.55,0.43,0.13,0.8395,0.3155,0.1955,0.2405,10.0
2918,1,0.6,0.445,0.135,0.9205,0.445,0.2035,0.253,9.0
3648,1,0.49,0.39,0.12,0.511,0.2205,0.10300000000000001,0.1745,9.0
3617,2,0.62,0.46,0.16,0.9505,0.4915,0.2,0.228,9.0
3447,0,0.505,0.39,0.12,0.5725,0.2555,0.1325,0.146,8.0
859,0,0.595,0.48,0.16,1.2095,0.5225,0.29600000000000004,0.32,8.0
1044,2,0.69,0.525,0.175,1.7005,0.8255,0.36200000000000004,0.405,8.0
2911,0,0.58,0.44,0.125,0.7855,0.363,0.1955,0.195,11.0
1729,2,0.665,0.525,0.175,1.443,0.6635,0.3845,0.353,11.0
1571,1,0.475,0.36,0.125,0.4905,0.205,0.1305,0.125,8.0
4078,2,0.55,0.43,0.18,0.8265,0.4405,0.159,0.225,10.0
1628,1,0.57,0.435,0.17,0.848,0.4,0.166,0.25,9.0
362,0,0.65,0.525,0.175,1.4225,0.61,0.2995,0.445,20.0
472,1,0.43,0.34,0.12,0.3575,0.151,0.0645,0.1045,9.0
2068,0,0.545,0.43,0.16,0.8440000000000001,0.3945,0.1855,0.231,9.0
1526,2,0.705,0.56,0.165,1.675,0.797,0.4095,0.38799999999999996,10.0
1615,1,0.55,0.425,0.15,0.7665,0.33899999999999997,0.17600000000000002,0.21,8.0
445,0,0.56,0.455,0.19,0.7140000000000001,0.28300000000000003,0.129,0.275,9.0
4074,1,0.52,0.4,0.14,0.622,0.278,0.1455,0.16899999999999998,8.0
1015,0,0.625,0.485,0.2,1.38,0.5845,0.302,0.401,9.0
1862,1,0.52,0.41,0.11,0.5185,0.2165,0.0915,0.184,8.0
147,1,0.28,0.205,0.08,0.127,0.052000000000000005,0.039,0.042,9.0
3771,1,0.575,0.45,0.145,0.795,0.364,0.1505,0.26,10.0
1333,2,0.57,0.435,0.125,0.8965,0.38299999999999995,0.1835,0.275,9.0
3073,2,0.665,0.525,0.155,1.3575,0.5325,0.3045,0.4485,10.0
3281,2,0.55,0.45,0.17,0.81,0.317,0.157,0.22,11.0
486,2,0.55,0.45,0.13,0.92,0.37799999999999995,0.2385,0.29,11.0
3462,0,0.625,0.47,0.17,1.255,0.525,0.2415,0.405,10.0
2673,2,0.595,0.47,0.165,1.1079999999999999,0.4915,0.2325,0.3345,9.0
1546,1,0.38,0.285,0.095,0.243,0.0895,0.0665,0.075,7.0
607,1,0.485,0.37,0.13,0.45799999999999996,0.18100000000000002,0.113,0.136,10.0
3015,1,0.42,0.32,0.11,0.309,0.115,0.0645,0.0945,6.0
3136,2,0.535,0.42,0.125,0.764,0.312,0.1505,0.265,11.0
3113,1,0.425,0.325,0.105,0.3975,0.1815,0.081,0.1175,7.0
1750,0,0.71,0.57,0.195,1.9805,0.9925,0.4925,0.48,12.0
3152,0,0.47,0.375,0.105,0.513,0.23199999999999998,0.142,0.13,11.0
3536,1,0.425,0.325,0.11,0.405,0.1695,0.092,0.1065,8.0
1625,2,0.565,0.43,0.15,0.831,0.4245,0.1735,0.21899999999999997,10.0
160,2,0.605,0.465,0.165,1.056,0.4215,0.2475,0.34,13.0
1519,2,0.67,0.51,0.175,1.5265,0.6509999999999999,0.4475,0.345,10.0
3906,2,0.245,0.18,0.065,0.0635,0.0245,0.0135,0.02,4.0
3576,0,0.6,0.475,0.155,1.0590000000000002,0.441,0.19,0.39,11.0
2889,1,0.52,0.4,0.11,0.597,0.2935,0.1155,0.16,8.0
2853,0,0.645,0.49,0.16,1.1440000000000001,0.5015,0.289,0.319,8.0
23,0,0.55,0.415,0.135,0.7635,0.318,0.21,0.2,9.0
10,0,0.525,0.38,0.14,0.6065,0.19399999999999998,0.1475,0.21,14.0
4123,1,0.49,0.375,0.115,0.557,0.2275,0.1335,0.1765,8.0
734,2,0.525,0.425,0.12,0.8665,0.2825,0.17600000000000002,0.29,18.0
3650,1,0.52,0.415,0.14,0.6385,0.2945,0.1405,0.171,8.0
1642,2,0.575,0.44,0.16,0.9615,0.483,0.166,0.275,13.0
4158,1,0.48,0.355,0.11,0.4495,0.201,0.08900000000000001,0.14,8.0
2139,2,0.68,0.53,0.205,1.496,0.5825,0.337,0.465,14.0
3185,0,0.59,0.415,0.15,0.8805,0.3645,0.23399999999999999,0.235,11.0
3204,0,0.665,0.53,0.185,1.3955,0.456,0.3205,0.49,15.0
1019,2,0.635,0.49,0.175,1.375,0.623,0.2705,0.395,11.0
3389,2,0.565,0.465,0.15,1.1285,0.377,0.3525,0.33,16.0
2003,1,0.375,0.28,0.08,0.226,0.105,0.047,0.065,6.0
2990,0,0.59,0.44,0.14,1.0070000000000001,0.4775,0.2105,0.2925,9.0
1288,1,0.505,0.38,0.12,0.594,0.2595,0.1435,0.18,7.0
2845,0,0.62,0.48,0.17,1.1045,0.535,0.25,0.287,10.0
1419,0,0.705,0.57,0.18,1.5345,0.96,0.4195,0.43,12.0
2061,0,0.5,0.38,0.14,0.6355,0.27699999999999997,0.14300000000000002,0.1785,8.0
785,2,0.55,0.415,0.175,1.042,0.3295,0.2325,0.2905,15.0
485,0,0.585,0.465,0.14,0.9079999999999999,0.381,0.1615,0.315,13.0
832,1,0.44,0.365,0.115,0.501,0.2435,0.084,0.1465,9.0
423,1,0.29,0.225,0.07,0.10099999999999999,0.036000000000000004,0.0235,0.035,8.0
295,1,0.295,0.215,0.085,0.128,0.049,0.034,0.04,6.0
20,2,0.355,0.28,0.095,0.2455,0.0955,0.062,0.075,11.0
3930,0,0.67,0.535,0.185,1.597,0.6275,0.35,0.47,21.0
1911,2,0.58,0.44,0.15,1.0465,0.518,0.2185,0.2795,10.0
3760,2,0.53,0.425,0.13,0.7020000000000001,0.2975,0.1395,0.22,9.0
2002,1,0.36,0.27,0.085,0.196,0.0905,0.034,0.053,7.0
2408,1,0.62,0.485,0.17,1.208,0.4805,0.3045,0.33,15.0
4020,0,0.68,0.55,0.175,1.473,0.713,0.282,0.4295,11.0
1581,1,0.5,0.39,0.12,0.5955,0.2455,0.147,0.17300000000000001,8.0
2163,0,0.55,0.47,0.15,0.897,0.377,0.184,0.29,9.0
3513,0,0.66,0.5,0.175,1.3275,0.556,0.2805,0.4085,9.0
1833,1,0.405,0.3,0.09,0.26899999999999996,0.10300000000000001,0.067,0.11,6.0
1998,1,0.35,0.235,0.08,0.17,0.0725,0.0465,0.0495,7.0
2954,2,0.645,0.495,0.19,1.5390000000000001,0.6115,0.408,0.445,12.0
3830,2,0.5,0.385,0.12,0.6335,0.2305,0.125,0.235,14.0
3270,0,0.625,0.475,0.13,0.8595,0.3195,0.1775,0.24,13.0
2346,0,0.56,0.43,0.125,0.8025,0.313,0.1715,0.263,13.0
2501,0,0.33,0.26,0.08,0.2,0.0625,0.05,0.07,9.0
621,1,0.485,0.38,0.14,0.6729999999999999,0.2175,0.13,0.195,18.0
2441,2,0.54,0.415,0.17,0.879,0.33899999999999997,0.20800000000000002,0.255,10.0
1200,0,0.72,0.55,0.2,1.9965,0.9035,0.469,0.5215,10.0
2004,1,0.375,0.275,0.085,0.22,0.109,0.05,0.0605,7.0
3532,1,0.38,0.285,0.09,0.2305,0.1005,0.039,0.0775,7.0
1003,2,0.595,0.455,0.15,1.044,0.518,0.2205,0.27,9.0
1811,2,0.65,0.525,0.19,1.6125,0.777,0.3685,0.3965,11.0
498,0,0.615,0.525,0.155,1.0385,0.42700000000000005,0.2315,0.345,11.0
668,2,0.55,0.425,0.155,0.9175,0.2775,0.243,0.335,13.0
1340,2,0.585,0.465,0.155,0.9145,0.4555,0.1965,0.235,9.0
4147,2,0.695,0.55,0.195,1.6645,0.727,0.36,0.445,11.0
2295,0,0.52,0.415,0.145,0.8045,0.3325,0.1725,0.285,10.0
1981,0,0.72,0.575,0.18,1.6705,0.732,0.3605,0.501,12.0
2174,0,0.645,0.5,0.17,1.1845,0.4805,0.27399999999999997,0.355,13.0
2534,2,0.64,0.585,0.195,1.6469999999999998,0.7225,0.331,0.47100000000000003,12.0
1140,2,0.575,0.455,0.135,0.907,0.4245,0.19699999999999998,0.26,9.0
1343,2,0.585,0.46,0.165,1.1135,0.5825,0.2345,0.27399999999999997,10.0
2941,0,0.63,0.48,0.165,1.2615,0.5505,0.27699999999999997,0.3885,10.0
608,2,0.37,0.285,0.1,0.228,0.0675,0.0675,0.081,10.0
2558,1,0.405,0.31,0.065,0.3205,0.1575,0.066,0.08800000000000001,6.0
2949,2,0.635,0.515,0.16,1.2075,0.5385,0.282,0.345,11.0
4134,0,0.595,0.455,0.14,0.914,0.3895,0.2225,0.271,9.0
4080,1,0.555,0.43,0.125,0.7005,0.3395,0.1355,0.2095,8.0
3886,0,0.46,0.375,0.12,0.4915,0.2205,0.08800000000000001,0.17,7.0
350,0,0.61,0.495,0.185,1.153,0.536,0.2905,0.245,8.0
2915,1,0.59,0.475,0.145,0.9745,0.4675,0.207,0.259,10.0
61,2,0.505,0.405,0.11,0.625,0.305,0.16,0.175,9.0
2157,2,0.62,0.495,0.175,1.806,0.643,0.3285,0.725,17.0
4095,0,0.635,0.485,0.155,1.073,0.467,0.1975,0.35,11.0
3663,1,0.55,0.4,0.135,0.7170000000000001,0.3315,0.1495,0.221,9.0
1484,0,0.59,0.465,0.15,1.151,0.613,0.239,0.2515,9.0
1239,1,0.375,0.27,0.085,0.218,0.0945,0.039,0.07,7.0
388,2,0.49,0.42,0.125,0.609,0.239,0.1435,0.22,14.0
1499,2,0.63,0.47,0.145,1.1005,0.52,0.26,0.276,9.0
3881,0,0.565,0.455,0.13,1.058,0.439,0.2645,0.3,10.0
3084,1,0.23,0.17,0.05,0.057,0.026000000000000002,0.013000000000000001,0.016,5.0
499,2,0.555,0.45,0.175,0.8740000000000001,0.3275,0.20199999999999999,0.305,10.0
1963,2,0.655,0.52,0.17,1.1445,0.53,0.223,0.348,9.0
3710,2,0.685,0.535,0.175,1.432,0.637,0.247,0.46,11.0
3413,2,0.49,0.395,0.12,0.674,0.3325,0.1235,0.185,9.0
643,2,0.33,0.255,0.095,0.1875,0.0735,0.045,0.06,7.0
3124,0,0.575,0.45,0.135,0.8285,0.36200000000000004,0.1655,0.23600000000000002,10.0
2373,0,0.5,0.405,0.15,0.5965,0.253,0.126,0.185,12.0
1792,2,0.57,0.455,0.175,1.02,0.4805,0.2145,0.29,9.0
535,1,0.465,0.38,0.13,0.45399999999999996,0.1895,0.08,0.155,11.0
586,1,0.52,0.425,0.17,0.6805,0.28,0.174,0.195,10.0
763,2,0.64,0.51,0.19,1.6130000000000002,0.6215,0.361,0.47,14.0
2784,2,0.6,0.45,0.145,0.877,0.4325,0.155,0.24,9.0
3479,1,0.44,0.33,0.11,0.38,0.19699999999999998,0.079,0.09,7.0
3022,1,0.46,0.37,0.11,0.3965,0.1485,0.0855,0.1455,8.0
873,0,0.625,0.49,0.155,1.2085,0.465,0.162,0.41100000000000003,11.0
2246,0,0.38,0.325,0.11,0.3105,0.12,0.07400000000000001,0.105,10.0
2937,2,0.625,0.515,0.165,1.217,0.667,0.2065,0.3115,10.0
1168,2,0.62,0.45,0.2,0.858,0.4285,0.1525,0.2405,8.0
2877,1,0.46,0.36,0.14,0.447,0.161,0.087,0.16,9.0
947,2,0.475,0.37,0.125,0.537,0.222,0.1215,0.15,9.0
479,2,0.66,0.545,0.185,1.32,0.5305,0.2635,0.455,16.0
2428,0,0.53,0.385,0.125,0.6695,0.289,0.151,0.18,10.0
722,2,0.555,0.44,0.15,1.092,0.41600000000000004,0.212,0.4405,15.0
2038,1,0.28,0.215,0.08,0.132,0.07200000000000001,0.022000000000000002,0.033,5.0
1136,0,0.575,0.46,0.145,0.9945,0.466,0.22899999999999998,0.265,7.0
3958,0,0.61,0.5,0.18,1.4380000000000002,0.5185,0.3735,0.3345,9.0
3998,1,0.375,0.28,0.08,0.2235,0.115,0.043,0.055,6.0
3861,0,0.63,0.475,0.175,1.423,0.4155,0.3385,0.49,14.0
3537,1,0.43,0.325,0.105,0.309,0.11900000000000001,0.08,0.098,6.0
1728,2,0.66,0.51,0.165,1.6375,0.7685,0.3545,0.3925,14.0
2141,1,0.32,0.24,0.075,0.1735,0.076,0.0355,0.05,7.0
3445,1,0.495,0.4,0.145,0.578,0.2545,0.1305,0.1645,8.0
2852,0,0.645,0.49,0.16,1.1665,0.4935,0.3155,0.299,9.0
2961,0,0.665,0.51,0.175,1.3805,0.675,0.2985,0.325,10.0
2685,2,0.625,0.48,0.145,1.085,0.4645,0.2445,0.327,10.0
2323,1,0.395,0.325,0.105,0.306,0.111,0.0735,0.095,8.0
1335,0,0.575,0.48,0.165,1.078,0.511,0.2095,0.306,9.0
